Season_x,Tm,G_RHP,PA_RHP,AB_RHP,H_RHP,1B_RHP,2B_RHP,3B_RHP,HR_RHP,R_RHP,RBI_RHP,BB_RHP,IBB_RHP,SO_RHP,HBP_RHP,SF_RHP,SH_RHP,GDP_RHP,SB_RHP,CS_RHP,AVG_RHP,Season_y,G_LHP,PA_LHP,AB_LHP,H_LHP,1B_LHP,2B_LHP,3B_LHP,HR_LHP,R_LHP,RBI_LHP,BB_LHP,IBB_LHP,SO_LHP,HBP_LHP,SF_LHP,SH_LHP,GDP_LHP,SB_LHP,CS_LHP,AVG_LHP,Season,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,ISO,NAME,CITY,STATE,START,LEAGUE,Exact,Latitude,Longitude,Altitude
2022.0,ARI,1513.0,4336.0,3824.0,885.0,548.0,186.0,17.0,134.0,521.0,492.0,402.0,10.0,949.0,45.0,41.0,24.0,62.0,83.0,22.0,0.23143305,2022.0,896.0,1690.0,1527.0,347.0,225.0,76.0,7.0,39.0,181.0,166.0,129.0,4.0,392.0,15.0,9.0,7.0,35.0,21.0,7.0,0.22724296,2022.0,1652.0,6026.0,5351.0,1232.0,773.0,262.0,24.0,173.0,702.0,658.0,531.0,14.0,1341.0,60.0,50.0,31.0,97.0,104.0,29.0,0.23023734,0.30423899,0.38516165,0.68940064,0.15492431,Chase Field,Phoenix,AZ,19980331.0,NL,Y,33.44542,-112.066793,1059.0
2022.0,PIT,1453.0,4034.0,3616.0,809.0,535.0,150.0,21.0,103.0,405.0,377.0,347.0,9.0,1002.0,36.0,24.0,11.0,60.0,71.0,26.0,0.22372788,2022.0,938.0,1878.0,1715.0,377.0,243.0,71.0,8.0,55.0,186.0,178.0,129.0,5.0,495.0,18.0,8.0,8.0,36.0,18.0,6.0,0.21982507,2022.0,1636.0,5912.0,5331.0,1186.0,778.0,221.0,29.0,158.0,591.0,555.0,476.0,14.0,1497.0,54.0,32.0,19.0,96.0,89.0,32.0,0.22247233,0.29119294,0.36372163,0.65491457,0.1412493,PNC Park,Pittsburgh,PA,20010409.0,NL,Y,40.446835,-80.005683,724.0
2022.0,SDP,1487.0,4308.0,3809.0,910.0,593.0,202.0,10.0,105.0,500.0,483.0,408.0,18.0,946.0,44.0,32.0,10.0,65.0,33.0,13.0,0.23890785,2022.0,927.0,1867.0,1659.0,407.0,278.0,73.0,8.0,48.0,205.0,199.0,166.0,6.0,381.0,21.0,14.0,7.0,30.0,16.0,9.0,0.24532851,2022.0,1628.0,6175.0,5468.0,1317.0,871.0,275.0,18.0,153.0,705.0,682.0,574.0,24.0,1327.0,65.0,46.0,17.0,95.0,49.0,22.0,0.24085589,0.31789371,0.3816752,0.69956891,0.14081931,Petco Park,San Diego,CA,20040408.0,NL,Y,32.70753,-117.157056,14.0
2022.0,SEA,1523.0,4338.0,3835.0,877.0,560.0,158.0,12.0,147.0,481.0,467.0,406.0,10.0,987.0,61.0,29.0,6.0,82.0,57.0,18.0,0.22868318,2022.0,933.0,1778.0,1540.0,359.0,231.0,71.0,7.0,50.0,209.0,196.0,190.0,7.0,410.0,28.0,16.0,3.0,38.0,26.0,9.0,0.23311688,2022.0,1649.0,6116.0,5375.0,1236.0,791.0,229.0,19.0,197.0,690.0,663.0,596.0,17.0,1397.0,89.0,45.0,9.0,120.0,83.0,27.0,0.22995349,0.31466011,0.3895814,0.70424151,0.15962791,T-Mobile Park,Seattle,WA,19990715.0,AL,Y,47.591443,-122.332283,17.0
2022.0,SFG,1571.0,4184.0,3682.0,855.0,544.0,184.0,13.0,114.0,468.0,441.0,401.0,10.0,983.0,62.0,37.0,3.0,78.0,44.0,10.0,0.23221076,2022.0,1022.0,1932.0,1710.0,406.0,261.0,71.0,5.0,69.0,248.0,242.0,170.0,4.0,479.0,33.0,16.0,3.0,31.0,20.0,6.0,0.2374269,2022.0,1775.0,6116.0,5392.0,1261.0,805.0,255.0,18.0,183.0,716.0,683.0,571.0,14.0,1462.0,95.0,53.0,6.0,109.0,64.0,16.0,0.23386499,0.31533301,0.38965134,0.70498435,0.15578635,Oracle Park,San Francisco,CA,20000411.0,NL,Y,37.778324,-122.389221,8.0
2022.0,STL,1540.0,4802.0,4295.0,1070.0,692.0,220.0,14.0,144.0,583.0,556.0,405.0,6.0,955.0,61.0,36.0,4.0,84.0,73.0,21.0,0.24912689,2022.0,751.0,1363.0,1201.0,316.0,186.0,70.0,7.0,53.0,189.0,183.0,132.0,5.0,271.0,19.0,9.0,1.0,28.0,22.0,4.0,0.26311407,2022.0,1664.0,6165.0,5496.0,1386.0,878.0,290.0,21.0,197.0,772.0,739.0,537.0,11.0,1226.0,80.0,45.0,5.0,112.0,95.0,25.0,0.25218341,0.32526794,0.42012373,0.74539167,0.16794032,Busch Stadium III,St. Louis,MO,20060410.0,NL,Y,38.622622,-90.192841,438.0
2022.0,TBR,1518.0,4580.0,4114.0,962.0,619.0,222.0,13.0,108.0,497.0,472.0,386.0,9.0,1099.0,47.0,26.0,6.0,67.0,73.0,31.0,0.23383568,2022.0,821.0,1428.0,1298.0,332.0,223.0,74.0,4.0,31.0,169.0,162.0,114.0,4.0,296.0,10.0,5.0,1.0,26.0,22.0,6.0,0.25577812,2022.0,1628.0,6008.0,5412.0,1294.0,842.0,296.0,17.0,139.0,666.0,634.0,500.0,13.0,1395.0,57.0,31.0,7.0,93.0,95.0,37.0,0.2390983,0.3085,0.37712491,0.68562491,0.13802661,Tropicana Field,St. Petersburg,FL,19980331.0,AL,Y,27.768254,-82.653431,41.0
2022.0,TOR,1528.0,4919.0,4443.0,1180.0,765.0,247.0,10.0,158.0,619.0,603.0,391.0,6.0,996.0,44.0,27.0,7.0,112.0,60.0,29.0,0.26558632,2022.0,709.0,1239.0,1112.0,284.0,180.0,60.0,2.0,42.0,156.0,153.0,109.0,7.0,246.0,11.0,6.0,1.0,24.0,7.0,6.0,0.25539568,2022.0,1617.0,6158.0,5555.0,1464.0,945.0,307.0,12.0,200.0,775.0,756.0,500.0,13.0,1242.0,55.0,33.0,8.0,136.0,67.0,35.0,0.26354635,0.32866678,0.43114311,0.75980989,0.16759676,Rogers Centre,Toronto,ONT,19890605.0,AL,Y,43.641256,-79.389054,268.0
2022.0,TEX,1487.0,4219.0,3846.0,906.0,617.0,149.0,14.0,126.0,481.0,451.0,310.0,9.0,1029.0,27.0,29.0,7.0,58.0,90.0,23.0,0.23556942,2022.0,890.0,1810.0,1632.0,402.0,249.0,75.0,6.0,72.0,226.0,219.0,146.0,3.0,417.0,20.0,9.0,3.0,24.0,38.0,18.0,0.24632353,2022.0,1640.0,6029.0,5478.0,1308.0,866.0,224.0,20.0,198.0,707.0,670.0,456.0,12.0,1446.0,47.0,38.0,10.0,82.0,128.0,41.0,0.23877327,0.30088054,0.39539978,0.69628032,0.15662651,Globe Life Park,Arlington,TX,19940401.0,AL,Y,32.75132,-97.0842,278.0
2022.0,WSN,1421.0,4051.0,3677.0,921.0,643.0,170.0,11.0,97.0,393.0,379.0,294.0,9.0,824.0,41.0,24.0,11.0,93.0,56.0,18.0,0.25047593,2022.0,935.0,1947.0,1757.0,430.0,300.0,82.0,9.0,39.0,210.0,200.0,148.0,3.0,397.0,19.0,13.0,9.0,47.0,19.0,13.0,0.24473534,2022.0,1563.0,5998.0,5434.0,1351.0,943.0,252.0,20.0,136.0,603.0,579.0,442.0,12.0,1221.0,60.0,37.0,20.0,140.0,75.0,31.0,0.2486198,0.31022937,0.37743835,0.68766772,0.12881855,Nationals Park,Washington,DC,20080330.0,NL,Y,38.872987,-77.007435,23.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
